2025-10-01 15:15:02,715 - INFO - Loaded car configuration from file
2025-10-01 15:15:02,748 - INFO - iRacing SDK initialized
2025-10-01 15:15:02,848 - INFO - Car detected: 'Porsche 911 GT3 Cup (992)'
2025-10-01 15:15:02,848 - INFO - Upshift RPM set to: 8200 for gear 1
2025-10-01 15:15:02,849 - INFO - iRacing RPM Alert v1.0.0 started
2025-10-01 15:15:17,123 - INFO - Upshift alert: 8742 RPM (target: 8200, gear: 0)
2025-10-01 15:15:17,480 - INFO - Upshift alert: 8590 RPM (target: 8200, gear: 1)
2025-10-01 15:15:27,142 - INFO - Upshift alert: 8213 RPM (target: 8200, gear: 3)
2025-10-01 15:15:52,948 - INFO - Upshift alert: 8248 RPM (target: 8200, gear: 3)
2025-10-01 15:15:57,569 - INFO - Upshift alert: 8250 RPM (target: 8200, gear: 3)
2025-10-01 15:16:15,835 - INFO - Upshift alert: 8207 RPM (target: 8200, gear: 3)
2025-10-01 15:16:41,312 - INFO - Upshift alert: 8354 RPM (target: 8200, gear: 2)
2025-10-01 15:16:44,211 - INFO - Upshift alert: 8223 RPM (target: 8200, gear: 3)
2025-10-01 15:16:54,042 - INFO - Upshift alert: 8227 RPM (target: 8200, gear: 2)
2025-10-01 15:16:56,244 - INFO - Upshift alert: 8233 RPM (target: 8200, gear: 3)
2025-10-01 15:17:06,463 - INFO - Upshift alert: 8438 RPM (target: 8200, gear: 1)
2025-10-01 15:18:01,514 - INFO - Upshift alert: 8677 RPM (target: 8200, gear: 0)
2025-10-01 15:18:02,754 - INFO - Upshift alert: 8359 RPM (target: 8200, gear: 1)
2025-10-01 15:18:05,746 - INFO - Upshift alert: 8556 RPM (target: 8200, gear: 1)
2025-10-01 15:18:06,382 - INFO - Upshift alert: 8681 RPM (target: 8200, gear: 1)
2025-10-01 15:18:07,576 - INFO - Upshift alert: 8674 RPM (target: 8200, gear: 2)
2025-10-01 15:18:10,041 - INFO - Upshift alert: 8470 RPM (target: 8200, gear: 2)
2025-10-01 15:18:23,433 - INFO - Upshift alert: 8305 RPM (target: 8200, gear: 1)
2025-10-01 15:18:27,386 - INFO - Upshift alert: 8259 RPM (target: 8200, gear: 0)
2025-10-01 15:18:30,347 - INFO - Upshift alert: 8700 RPM (target: 8200, gear: 2)
2025-10-01 15:18:37,713 - INFO - Upshift alert: 8456 RPM (target: 8200, gear: 1)
2025-10-01 15:18:40,242 - INFO - Upshift alert: 8443 RPM (target: 8200, gear: 1)
2025-10-01 15:18:40,893 - INFO - Upshift alert: 8572 RPM (target: 8200, gear: 1)
2025-10-01 15:18:42,180 - INFO - Upshift alert: 8413 RPM (target: 8200, gear: 1)
2025-10-01 15:18:51,515 - INFO - Upshift alert: 8713 RPM (target: 8200, gear: 0)
2025-10-01 15:18:59,470 - INFO - Upshift alert: 8740 RPM (target: 8200, gear: 0)
2025-10-01 15:19:00,167 - INFO - Upshift alert: 8716 RPM (target: 8200, gear: 0)
2025-10-01 15:19:00,694 - INFO - Upshift alert: 8526 RPM (target: 8200, gear: 1)
2025-10-01 15:19:04,307 - INFO - Upshift alert: 8614 RPM (target: 8200, gear: 1)
2025-10-01 15:19:04,850 - INFO - Upshift alert: 8467 RPM (target: 8200, gear: 2)
2025-10-01 15:19:12,013 - INFO - Upshift alert: 8253 RPM (target: 8200, gear: 3)
2025-10-01 15:19:40,002 - INFO - Upshift alert: 8237 RPM (target: 8200, gear: 3)
2025-10-01 15:19:47,276 - INFO - Upshift alert: 8533 RPM (target: 8500, gear: 4)
2025-10-01 15:20:12,474 - INFO - Upshift alert: 8234 RPM (target: 8200, gear: 3)
2025-10-01 15:20:28,711 - INFO - Upshift alert: 8286 RPM (target: 8200, gear: 2)
2025-10-01 15:20:30,604 - INFO - Upshift alert: 8297 RPM (target: 8200, gear: 3)
2025-10-01 15:20:38,807 - INFO - Upshift alert: 8244 RPM (target: 8200, gear: 2)
2025-10-01 15:20:50,067 - INFO - Upshift alert: 8425 RPM (target: 8200, gear: 1)
2025-10-01 15:21:16,503 - INFO - Upshift alert: 8247 RPM (target: 8200, gear: 2)
2025-10-01 15:21:19,466 - INFO - Upshift alert: 8240 RPM (target: 8200, gear: 2)
2025-10-01 15:21:21,591 - INFO - Upshift alert: 8223 RPM (target: 8200, gear: 3)
2025-10-01 15:21:25,391 - INFO - Upshift alert: 8389 RPM (target: 8200, gear: 3)
2025-10-01 15:21:35,516 - INFO - Upshift alert: 8213 RPM (target: 8200, gear: 3)
2025-10-01 15:21:41,067 - INFO - Upshift alert: 8241 RPM (target: 8200, gear: 3)
2025-10-01 15:21:44,975 - INFO - Upshift alert: 8501 RPM (target: 8500, gear: 4)
2025-10-01 15:22:04,531 - INFO - Upshift alert: 8245 RPM (target: 8200, gear: 2)
2025-10-01 15:22:09,446 - INFO - Upshift alert: 8210 RPM (target: 8200, gear: 1)
2025-10-01 15:22:10,966 - INFO - Upshift alert: 8240 RPM (target: 8200, gear: 2)
2025-10-01 15:22:13,186 - INFO - Upshift alert: 8266 RPM (target: 8200, gear: 3)
2025-10-01 15:22:20,784 - INFO - Upshift alert: 8532 RPM (target: 8500, gear: 4)
2025-10-01 15:22:29,869 - INFO - Upshift alert: 8331 RPM (target: 8200, gear: 1)
2025-10-01 15:22:31,792 - INFO - Upshift alert: 8293 RPM (target: 8200, gear: 2)
2025-10-01 15:24:13,617 - INFO - Car detected: 'Porsche 911 GT3 Cup (992)'
2025-10-01 15:24:13,617 - INFO - Upshift RPM set to: 8200 for gear 1
2025-10-01 15:25:02,797 - INFO - Upshift alert: 8534 RPM (target: 8200, gear: 0)
2025-10-01 15:25:12,318 - INFO - Upshift alert: 8227 RPM (target: 8200, gear: 3)
2025-10-01 15:25:29,516 - INFO - Upshift alert: 8286 RPM (target: 8200, gear: 1)
2025-10-01 15:25:31,144 - INFO - Upshift alert: 8258 RPM (target: 8200, gear: 2)
2025-10-01 15:25:33,284 - INFO - Upshift alert: 8258 RPM (target: 8200, gear: 3)
2025-10-01 15:25:37,177 - INFO - Upshift alert: 8502 RPM (target: 8500, gear: 4)
2025-10-01 15:25:41,752 - INFO - Upshift alert: 8527 RPM (target: 8200, gear: 0)
2025-10-01 15:25:43,536 - INFO - Upshift alert: 8220 RPM (target: 8200, gear: 3)
2025-10-01 15:25:50,607 - INFO - Upshift alert: 8290 RPM (target: 8200, gear: 2)
2025-10-01 15:25:52,716 - INFO - Upshift alert: 8246 RPM (target: 8200, gear: 3)
2025-10-01 15:26:04,609 - INFO - Upshift alert: 8210 RPM (target: 8200, gear: 3)
2025-10-01 15:26:20,318 - INFO - Upshift alert: 8518 RPM (target: 8500, gear: 4)
